title,year,genre,country,imdbRating,imdbVotes
Charley Thompson,2017,Drama,UK,7.2,10704
Monsieur Verdoux,1947,"Comedy, Crime, Drama",USA,8,10705
WhoAmI,2014,Thriller,Germany,7.6,10706
The Doom Generation,1995,"Action, Comedy, Crime","USA, France",5.9,10711
The Best Man Holiday,2013,"Comedy, Drama",USA,6.7,10714
Mission Mangal,2019,"Drama, History",India,6.5,10717
In Dreams,1999,"Drama, Fantasy, Thriller",USA,5.4,10718
Thunderheart,1992,"Crime, Mystery, Thriller",USA,6.8,10718
House of Wax,1953,"Crime, Horror",USA,7.1,10721
Death Note: The Last Name,2006,"Adventure, Crime, Drama","Japan, USA",7.4,10721
Samaritan Girl,2004,Drama,South Korea,7.2,10724
Pulse,2001,"Horror, Mystery, Thriller",Japan,6.6,10727
Citizen X,1995,"Biography, Crime, Drama",USA,7.7,10727
The New Daughter,2009,"Horror, Thriller",USA,5.3,10730
Clockstoppers,2002,"Adventure, Sci-Fi, Thriller",USA,5.2,10733
Lucas,1986,"Comedy, Drama, Romance",USA,6.8,10738
Half Light,2006,"Drama, Horror, Mystery","Germany, UK",6,10741
Le Chef,2012,Comedy,"France, Spain",6.6,10742
Dream Girl,2019,"Comedy, Romance",India,7.0,10746
Up Close & Personal,1996,"Drama, Romance",USA,6,10751
Hamlet,1948,Drama,UK,7.9,10751
Haunter,2013,"Horror, Mystery, Thriller","Canada, France",5.9,10760
At First Sight,1999,"Drama, Romance",USA,5.9,10761
Page Eight,2011,"Drama, Mystery, Thriller",UK,6.9,10761
Brubaker,1980,Drama,USA,7.1,10764
Scenes from a Marriage,1973,Drama,Sweden,8.5,10766
Post Grad,2009,"Comedy, Romance",USA,5.3,10768
Little Man Tate,1991,Drama,USA,6.6,10770
Pootie Tang,2001,"Comedy, Musical, Adventure",USA,5.1,10776
Only Yesterday,1991,"Animation, Drama, Romance",Japan,7.7,10776
Krrish,2006,"Action, Adventure, Romance",India,6.3,10778
Big Bad Wolves,2013,"Crime, Thriller",Israel,6.8,10780
Super High Me,2007,"Documentary, Comedy",USA,6.2,10781
Bigger Stronger Faster*,2008,"Documentary, Sport",USA,7.6,10783
Spellbound,2002,Documentary,USA,7.7,10786
Only Yesterday,1991,"Animation, Drama, Romance",Japan,7.7,10790
12,2007,"Crime, Drama, Thriller",Russia,7.8,10790
The Reef,2010,"Horror, Thriller",Australia,5.8,10794
Ride with the Devil,1999,"Drama, Romance, War",USA,6.8,10797
High Sierra,1941,"Adventure, Crime, Drama",USA,7.6,10801
Cheap Thrills,2013,"Comedy, Crime, Drama",USA,6.8,10802
Venus,2006,"Comedy, Drama, Romance",UK,7.1,10813
Come to Daddy,2019,"Comedy, Horror, Mystery","Ireland, Canada, New Zealand, USA",6.0,10816
Stealing Harvard,2002,"Comedy, Crime",USA,5.1,10818
The Riot Club,2014,"Drama, Thriller",UK,6,10818
Henry Poole Is Here,2008,"Comedy, Drama",USA,6.5,10818
The Man with One Red Shoe,1985,"Comedy, Thriller",USA,5.6,10827
The Deaths of Ian Stone,2007,"Horror, Thriller","UK, USA",5.6,10830
White Noise 2: The Light,2007,"Drama, Horror, Thriller","USA, Canada",5.8,10839
Coogan's Bluff,1968,"Action, Thriller",USA,6.5,10845
To Live,1994,"Drama, War","China, Hong Kong",8.3,10848
Pardon,2005,"Comedy, Drama",Turkey,8.1,10850
Versus,2000,"Action, Fantasy, Horror",Japan,6.6,10866
Kelebekler,2018,"Comedy, Drama",Turkey,7.4,10869
About Last Night...,1986,"Comedy, Drama, Romance",USA,6.1,10870
Chained,2012,"Horror, Thriller",Canada,6.4,10873
Soapdish,1991,"Comedy, Romance",USA,6.5,10873
The Only Living Boy in New York,2017,Drama,USA,6.3,10875
Cinayet Süsü,2019,"Comedy, Crime",Turkey,6.7,10880
Days of Being Wild,1990,"Crime, Drama, Romance",Hong Kong,7.6,10881
The Great Train Robbery,1978,"Adventure, Crime, Drama",UK,7,10895
Cookie's Fortune,1999,"Comedy, Drama",USA,7,10897
Mutiny on the Bounty,1962,"Adventure, Drama, History",USA,7.2,10899
Galveston,2018,"Action, Crime, Drama",USA,6.2,10901
Afro Samurai,2007,"Animation, Action, Adventure","USA, Japan",7.8,10903
Kodachrome,2017,Drama,"Canada, USA",6.8,10904
The Cincinnati Kid,1965,Drama,USA,7.3,10908
Afro Samurai,2007,"Animation, Action, Adventure","USA, Japan",7.8,10911
Trees Lounge,1996,"Comedy, Drama",USA,7.2,10914
Johnny Got His Gun,1971,"Drama, War",USA,7.9,10922
All the Pretty Horses,2000,"Drama, Romance, Western",USA,5.8,10928
Tristram Shandy: A Cock and Bull Story,2005,"Comedy, Drama",UK,6.8,10931
Creation,2009,"Biography, Drama",UK,6.8,10933
Point Blank: Conto alla rovescia,2019,"Action, Crime, Drama","France, USA",5.7,10934
From Prada to Nada,2011,"Comedy, Drama, Romance","Mexico, USA",5.5,10938
Jodorowsky's Dune,2013,Documentary,"France, USA",8.1,10940
Kaminey: The Scoundrels,2009,"Action, Comedy, Crime",India,7.5,10941
Outlaw,2007,"Action, Crime, Drama",UK,5.8,10946
Creation,2009,"Biography, Drama",UK,6.7,10946
Fellini Satyricon,1969,"Drama, Fantasy",Italy,6.9,10946
The Spirit of the Beehive,1973,"Drama, Fantasy",Spain,8,10946
Dying Young,1991,"Drama, Romance",USA,5.9,10948
Gridlock'd,1997,"Comedy, Crime, Drama",USA,7,10948
Warlock,1989,"Action, Fantasy, Horror",USA,6.2,10953
Alex & Emma,2003,"Comedy, Romance",USA,5.5,10956
City of the Living Dead,1980,Horror,Italy,6.3,10957
The Decalogue,1989,Drama,"Poland, West Germany",9.2,10958
Youth Without Youth,2007,"Drama, Fantasy, History","USA, Romania, France, Italy, Germany",6.3,10960
Shimmer Lake,2017,"Crime, Drama, Mystery","Canada, USA",6.2,10968
